Payment ID,Account Holder,Branch Code,Account Number,Account Type,Transaction Date,Amount,Status,Effective Status Date
1,J SMITH,51001,112233445566,1,03/12/2013,232.73,00,04/12/2013
2,A COETZEE,632005,321456789374,2,03/12/2013,155,30,27/12/2013
3,J ERASMUS,632005,123123456456,1,28/12/2013,299,00,28/12/2013
4,B MBLOVU,250655,665544332211,1,13/01/2014,300,05,13/01/2014
5,B MBLOVU,250655,665544332211,1,20/01/2014,212,00,23/01/2014
6,F GRANT,250655,918273645128,2,23/01/2014,599.33,02,23/01/2014
7,M KOLB,632005,432198726353,1,05/01/2014,1212.22,00,05/01/2014
8,J KALVANDA,470010,192833282621,1,26/01/2014,1100,02,27/01/2014
9,M GIBSON,252242,284767843674,1,12/12/2013,283.22,00,13/12/2013
10,F VAN BUEKERING,250655,837897897344,2,07/01/2014,125,00,09/01/2014
11,J SMITH,051001,112233445566,1,13/12/2013,522.5,02,16/12/2013
12,E GRIESEL,51001,109820197328,2,12/01/2014,121,00,19/01/2014
13,J BIOLA,51001,129217871877,1,24/01/2014,399,02,31/01/2014
14,A BOSCH,252242,444333222112,2,17/01/2014,300,00,17/01/2014
15,F VAN TONDER,051001,387298262876,1,19/01/2014,112,00,25/01/2014
16,G VAN TONDER,252242,219810118722,1,16/12/2013,3999.83,02,23/12/2013
17,J BIOLA,51001,129217871877,1,02/12/2013,836,00,02/01/2014
18,F KUMALO,051001,218712871657,2,18/01/2014,322.5,30,14/01/2014
19,J SMITH,051001,112233445566,1,27/12/2013,200,00,27/12/2013
20,V MBINI,470010,386292833763,2,09/01/2014,728.22,02,13/01/2014
